outer_fold,candidate_index,parameters_json,inner_fold,rmsle
1,8,"{""l2_regularization"":5.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0870197544394
1,8,"{""l2_regularization"":5.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0906367120748
1,9,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",0,0.106187598692
1,9,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",1,0.108746281006
1,9,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",2,0.104081166224
1,9,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.106338348641
1,10,"{""l2_regularization"":5.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",0,0.0915114478171
1,10,"{""l2_regularization"":5.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",1,0.0941777633807
1,10,"{""l2_regularization"":5.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",2,0.0894509873718
1,10,"{""l2_regularization"":5.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.0917133995232
1,11,"{""l2_regularization"":5.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",0,0.0915476101636
1,11,"{""l2_regularization"":5.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",1,0.0945152312122
1,11,"{""l2_regularization"":5.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0866170435509
1,11,"{""l2_regularization"":5.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0908932949756
1,12,"{""l2_regularization"":5.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",0,0.0954759745171
1,12,"{""l2_regularization"":5.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",1,0.0945128880625
1,12,"{""l2_regularization"":5.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0923484400776
1,12,"{""l2_regularization"":5.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0941124342191
1,13,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",0,0.0952968560578
1,13,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",1,0.101024188554
1,13,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0923982860845
1,13,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0962397768987
1,14,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",0,0.107744090332
